state_code,Wave,visit_1,visit_1_se,visit_2,visit_2_se,visit_4,visit_4_se,visit_8,visit_8_se,visit_9,visit_9_se,visit_10,visit_10_se,visit_12,visit_12_se,cov_beh_1,cov_beh_1_se,cov_beh_2,cov_beh_2_se,cov_beh_3,cov_beh_3_se,cov_beh_5,cov_beh_5_se,event_at_least_1,event_at_least_1_se,event_5_10,event_5_10_se,event_11_50,event_11_50_se,event_50,event_50_se,Start_Date,End_Date
AK,1,19.156134328543608,4.271762211832936,3.0706380021025472,2.2998816940803475,16.862756010256085,5.999757930609941,3.7350371544811747,1.6944546608921882,4.1258705231345845,1.7325712185474056,1.244850624416749,1.239256583275797,0,0,61.095142310310194,6.327653550676547,71.2186530526429,5.278206461373656,80.66046417022987,4.7314344584636965,58.62315410586649,6.026602250332207,31.43476026581981,6.244837896649202,3.063283139518711,1.8144468510926925,2.444462305638292,1.2327005035887333,0,0,2020-04-16T22:38:45Z,2020-04-30T07:44:42Z
AL,1,24.56986935717957,2.387900436427458,2.3262873044902634,0.9404871918712041,10.746787258011308,2.025100450177305,7.94755211721611,1.3919042295165904,7.345703958470651,1.7352935776417424,2.953884744754704,1.3207164823007203,0.27014872662361916,0.19271910706555595,67.1699902948874,2.7907718415361513,76.7015952439964,2.3248691054878767,80.95018258080731,2.30634181214075,52.169939030657034,2.971778050426814,29.717577298912197,2.676500382779812,5.738736509890305,1.1943506880731072,1.4029004585073477,0.6227033068769356,0.7674532588785887,0.3524411852819595,2020-04-17T11:46:30Z,2020-04-26T22:11:36Z
AR,1,31.427476229424027,2.6635090967098685,0.4293996951882555,0.2852105093527766,11.385809087874897,1.7645552442541637,4.888773844504777,1.2492809541787548,6.11907859912924,1.1087882383297514,1.8604706563972637,0.7591966020255313,0.11361381633939899,0.1136817493623375,58.981548587149135,2.898035670298103,69.42310784320419,2.721207648595831,80.06625424817439,2.28418544620863,45.17512966860334,2.924743171135114,32.39788852820462,2.6570358865694974,5.748662226624298,1.1841718084162776,1.8094089044440942,0.6910365839337606,0.8578440995547661,0.5022567143894664,2020-04-17T12:08:21Z,2020-04-26T00:52:02Z
AZ,1,30.79447204906376,2.7344678608879662,2.203578034374841,0.8691166263218659,7.237489206708564,1.6097788397834583,7.214934422797249,1.5671443461248609,7.020544069489514,1.5858820924906185,2.6989975071615913,1.170476149769243,3.21468109893839,1.010716880582257,63.08548240378968,2.804768728296288,68.17105102077213,2.7106903343607773,77.8892764152235,2.440195634105112,47.65584264254979,2.8704668635027377,31.647553454940653,2.76806215713482,8.077256791339469,1.5478156689440683,1.0916404745121389,0.4773354946239386,1.7594560919096707,0.5253441686354099,2020-04-17T11:39:23Z,2020-04-27T02:33:48Z
CA,1,24.53484361143614,1.9297570799073196,2.041271346827122,0.7038507322795181,6.405658796448467,1.1578362142356862,8.360565677236641,1.1252118048684594,5.953454491897793,1.0913135261857743,0.6840995653727957,0.3075632231519917,1.1896741319022595,0.49873038561377797,74.66391269776699,1.8958353559526617,78.22991218637159,1.766830305525504,78.17746315504776,1.7912935425238519,73.69333048711407,1.8619477416553503,21.47718015387689,1.7898640393202632,4.206892827121381,0.9548201521326614,1.7970179484693114,0.6994790344076115,1.37770480850586,0.5272089871343136,2020-04-17T13:01:47Z,2020-04-29T11:00:49Z
CO,1,21.104869230187738,2.3798522593804146,0.17492648058246957,0.17493923462517286,5.180723957981888,1.2692231983214715,5.476890574415191,1.231237520153188,3.951332558056487,1.2162588553697995,0.45565148943924694,0.2644028291939772,0.9861249967944528,0.3819901094411938,64.62685210725863,2.9668015400795755,71.57791414266677,2.774881377502086,72.16522710291096,2.8362672576311705,55.87443802669774,2.9921510716533763,23.408803662043358,2.5143275605059108,4.151743411264877,0.9581595893880959,2.567081158053237,0.948142932371579,0.34609465627470704,0.2518009645219049,2020-04-17T12:58:47Z,2020-04-27T12:13:54Z
CT,1,23.136005324598173,2.8167262517264775,1.0765464223768264,0.5529929059118499,4.311851177721842,1.1190743535294434,3.90239939187489,1.176478926874259,6.0525910078344864,1.370304829770802,1.2360676659755612,0.7134346607504976,0.5804463689093128,0.355625324128318,76.78462521811737,2.7304118213139987,80.50007163619632,2.6942717562397265,80.43203897150988,2.8348120574692057,64.8724323205714,3.1833695804035473,20.24900326919351,2.4414117286887893,3.4084767820138415,1.189589217784881,0,0,1.5343898852879274,0.705788711776419,2020-04-17T11:59:47Z,2020-04-22T23:21:45Z
DC,1,17.760002963852006,3.8873143432320894,5.879634111545793,2.54951301848836,10.587483841639807,3.523805042931774,7.1324650574226185,3.0993870747976646,8.259618135773056,3.6946204874664637,1.3455010896389623,1.3354969882303322,8.724084811727337,4.208711255184917,73.69750770133552,4.7596395418086,80.88665763567936,4.146801616337681,82.04902576982708,3.8178144900162643,68.93372475220477,5.395246587610775,25.78563846844013,4.998208856136782,7.590089567215882,3.0966572377597963,0.44927456000991206,0.4499726852467424,0,0,2020-04-17T22:37:32Z,2020-04-30T16:11:35Z
DE,1,23.138712934341942,2.758573424109294,0.710390256714817,0.7069217706075899,8.22549452596319,1.7265604758812516,3.401331756643982,0.987093794188041,7.9172342145236385,2.070181999247212,0.40240984029154314,0.2881589830776072,2.5221950227546808,1.0942163622166834,70.9006559232125,3.0596475672114187,78.71108750602627,2.563008439469402,77.53649186428473,2.827877146313166,62.539495944555334,3.275885464147853,24.74261658885694,2.804885266252642,3.6092170473825567,1.0542518962376373,0.6183029252142683,0.35880152024964224,0.44997068190858036,0.33938417876317434,2020-04-16T23:11:30Z,2020-04-30T15:17:17Z
FL,1,18.352479751603916,2.0832340515270205,2.6714391279561602,0.8673210339121856,6.520223650857179,1.2546804394396494,5.256242516578278,1.0836691102690768,4.260121609145108,1.0303097389767972,1.9294674423576252,0.7155523847438029,2.568444888076021,0.8028507553261979,75.96588919324616,2.1485419353581925,75.66434796837387,2.188783515853346,79.61038305543315,2.1529689370460745,65.09877965714222,2.39025177017107,21.136644126972897,2.022422160723024,4.408046278041304,1.0762122992508065,0.3865761162424981,0.17747859104041397,0.3730176926371141,0.21896360359668324,2020-04-17T13:16:08Z,2020-04-26T23:17:11Z
