Wave,visit_1,visit_1_se,visit_2,visit_2_se,visit_4,visit_4_se,visit_8,visit_8_se,visit_9,visit_9_se,visit_10,visit_10_se,visit_12,visit_12_se,cov_beh_1,cov_beh_1_se,cov_beh_2,cov_beh_2_se,cov_beh_3,cov_beh_3_se,cov_beh_5,cov_beh_5_se,event_at_least_1,event_at_least_1_se,event_5_10,event_5_10_se,event_11_50,event_11_50_se,event_50,event_50_se,Start_Date,End_Date
1,25.707795774555176,0.37568434583904387,1.363199014760873,0.10402394348497143,8.3134925737826,0.244966831453137,5.7785803556578825,0.19424331073247345,5.544638335430271,0.20861406594613807,1.29027286916876,0.10360585543741921,1.8191300660763798,0.12372839098275025,68.49370070472197,0.40285707240121943,74.87402934010416,0.37566796731446717,79.89853655178213,0.3489210984928408,55.60476808330505,0.4311500085124391,26.19078261584264,0.37960963494444167,5.150296242526012,0.1911439280976545,1.4164911641970475,0.10192809397631875,0.8241280890731228,0.0803395408538963,2020-04-16T22:30:32Z,2020-04-30T19:23:44Z
2,26.667574347134792,0.36642871895921286,1.758898107664987,0.1109247940111344,11.332661495653925,0.26636435718089696,6.721397857951173,0.20721819699789779,6.07284722970776,0.19820896665956023,2.0207808895771944,0.12317248558386894,2.0187610266621907,0.12489786021383913,62.71694888803513,0.39977659131054555,71.71544339722738,0.37036781970256927,77.46296184489016,0.3466174791683619,61.933313450925766,0.40040953228645015,29.10944695555499,0.3708149411146111,6.554588592101425,0.2028282949265111,1.6673375305372218,0.09736340723982122,0.8817341618852811,0.07235954096985953,2020-05-01T22:25:41Z,2020-05-21T21:26:07Z
3,29.541068302846774,0.40194931332446765,2.8598418904427483,0.14643247571789733,14.987235801354434,0.31482255347169985,9.759833448412332,0.25977367403535645,8.698325260102914,0.2620470665783479,2.9576660895599085,0.15415026041908061,2.0090009153312502,0.13301922862219284,57.31546666024151,0.4406066304718232,67.09030494897371,0.41515982992582845,76.16504573603687,0.3776834000787448,63.5466364148006,0.42618465903314295,35.41722303961116,0.42227679789699246,8.561782186365347,0.2447265147680314,2.7107408611104664,0.13925685345121322,0.968079271712168,0.08314208143565241,2020-05-16T09:04:50Z,2020-06-01T10:02:23Z
5,32.64972719443394,0.40407931796461133,5.026051425930016,0.18056219663107811,18.37133588548941,0.32932844340105283,15.031369912314627,0.2995587568964261,11.444084593138523,0.2758937308760522,4.9793288248125815,0.19785625011213057,3.053960235794921,0.17008937933816437,49.44884924053992,0.4348401430236169,59.95184798954762,0.4235297024929747,73.34112837963933,0.3841956247472289,64.59911533307428,0.4104615892050279,42.777596097482856,0.42693750684175663,10.642961255305822,0.2653739908467335,4.066588685392534,0.1653649063991144,1.7096182132599371,0.10701738608255898,2020-06-12T21:05:00Z,2020-06-28T21:14:58Z
7,32.81249096004574,0.4646736696141086,5.707013584197174,0.2355361618614686,16.45899896487784,0.36748333524213544,13.913065244941315,0.334737495052142,11.012265912663239,0.3165544412014271,4.79217476409173,0.209744353215683,2.676723553130291,0.17830592203412582,52.87160618866689,0.49444467779759294,62.1806112316018,0.47733229805840904,74.25337720565331,0.4301272590485964,73.64935629314367,0.426778872966255,40.7165574183835,0.4828610888457593,10.016294886277729,0.2912017272785466,3.510369882524951,0.1650804149047435,1.6125921642333327,0.11803014094490481,2020-07-10T20:58:13Z,2020-07-26T21:35:30Z
9,34.830378978453865,0.41019444421110907,5.265430331518461,0.19211183874095117,18.00213935981879,0.3294066052272079,15.200087217889113,0.3013353732107237,12.166234620539523,0.2950496383381326,5.4921589187356386,0.19675071032643018,2.8520344694461057,0.15495364949659657,49.39870917985989,0.44022806044682405,61.031865871196935,0.42366253794207653,74.70884977284999,0.3803519870914983,75.86147793683027,0.36820348646925943,42.784694138532316,0.4298305768716394,10.241080399612576,0.252077587420467,4.08641814926385,0.16001971422690367,1.8018056905650306,0.11230460463936703,2020-08-07T17:47:38Z,2020-08-26T06:21:08Z
10,38.06487680078788,0.41497262309653427,6.318704822171487,0.19936577810598363,17.26243177993762,0.3212241021146223,15.789558396825178,0.30850772767583706,12.200085887044002,0.28917298632214977,5.152197695364555,0.19270369598171627,3.0581921381399404,0.16009516254343995,47.940369513820144,0.4350324012444577,58.240960184873046,0.42395081556413206,73.72153305281269,0.3785198461818205,74.93073215372586,0.37058904917757873,45.39083000085527,0.4290166515496122,11.263323051358796,0.262966166602129,4.408066875649623,0.16656681062385637,1.95340086909285,0.11379293344716285,2020-09-04T11:42:27Z,2020-09-30T19:14:11Z
11,39.89645118884497,0.486564494215019,7.009343415854221,0.24661526210601642,16.818385599839413,0.35994642542739785,16.158133181122114,0.3579976190909417,13.764369811267274,0.3455586731485311,6.593765240724853,0.2538362429551766,3.339656389390453,0.19121041104248035,47.3458823142195,0.4821235478138039,56.932340006040704,0.47233472751988065,72.7159861279417,0.42709671650688213,75.33891078230319,0.40393515180786016,44.93254563546895,0.47433300058880645,11.080203245803466,0.2916074775927318,4.607382606456246,0.18502581784746974,1.9318628118984855,0.12181817726046522,2020-10-02T14:19:39Z,2020-10-23T14:39:03Z
12,36.25061540891433,0.5701891233628706,7.828747064385373,0.3190601636126274,17.065355510823718,0.4429671496901823,15.846554800766372,0.4208811330148799,11.716420771831821,0.39259694820663793,6.303990490037603,0.2877336076892955,3.297468237629221,0.23730840373667023,47.6425234550922,0.5535107056475015,56.95425682824412,0.5427518210563089,70.41692304447868,0.4973075562798252,74.98562634332401,0.47039109521222383,43.879337252878805,0.5422012217409365,10.5999229192991,0.3184402568803661,4.729522550049471,0.22006108662129872,1.789051036298955,0.13854974670699466,2020-10-23T12:39:08Z,2020-11-14T13:31:37Z
13,36.405249340736596,0.40772403719646944,7.638603560150206,0.2222042628970319,16.443619209734866,0.3106318528458625,15.556128741859347,0.3072622897543749,13.127984196691761,0.30106478181226537,5.897816395606973,0.20517584427414906,3.6412262231245087,0.1751852845072917,49.3325419214992,0.4046791001400139,58.37193629592038,0.3951303523602433,70.7996888843553,0.36720310753985985,77.43073367381533,0.33568169161680317,42.518599652290625,0.39463838162669806,10.218767907374641,0.2371113202835254,3.643488167974968,0.13863342805582324,1.6603667035933423,0.09887440038167603,2020-11-03T13:12:09Z,2020-11-30T22:54:03Z
