Wave,Start_date,End_date,state,Go to work,Go to the gym,Go visit a friend,"Go to a cafe, bar, or restaurant",Go to a doctor or visit a hospital,Go to church or another place of worship,"Take mass transit (e.g. subway, bus, or train)",Avoiding contact with other people,Avoiding public or crowded places,Frequently washing hands,Wearing a face mask when outside of your home,Been in a room with someone outside of household in the past 24 hours,Been in a room with 5-10 people outside of household in the past 24 hours,Been in a room with 11-50 people outside of household in the past 24 hours,Been in a room with over 50 people outside of household in the past 24 hours,Start_Date,End_Date,N_national,N_state
14,12/16/2020,1/11/2021,MI,28.44,4.83,12.61,8.6,8.36,3.4,0.98,52.76,57.21,66.68,76.02,35.76,8.7,0.77,1.94,12/16/2020 UTC,01/11/2021,25640.0,497.0
14_gap,1/12/2021,2/4/2021,MI,,,,,,,,,,,,,,,,,,,
16,2/5/2021,3/1/2021,MI,36.33,4.07,13.87,14.56,8.15,3.35,1.04,42.47,44.7,69.67,75.65,40.89,8.58,6.17,2.07,02/05/2021 UTC,03/01/2021,21500.0,457.0
17,4/1/2021,5/3/2021,MI,33.01,6.74,15.08,19.54,11.75,8.38,3.07,48.87,54.64,69.2,74.34,47.73,8.27,3.49,1.46,04/01/2021 UTC,05/03/2021,21733.0,441.0
17_gap,5/4/2021,6/8/2021,MI,,,,,,,,,,,,,,,,,,,
18,6/9/2021,7/6/2021,MI,36.55,7.86,18.98,22.02,8.89,7.23,2.79,28.98,37.74,62.31,47.79,52.05,12.47,7.07,2.73,06/09/2021 UTC,07/06/2021,20669.0,427.0
18_gap,7/7/2021,8/25/2021,MI,,,,,,,,,,,,,,,,,,,
19,8/26/2021,9/27/2021,MI,32.42,7.23,24.66,24.35,11.69,8.72,2.37,34.98,39.61,63.61,46.15,52.44,13.87,6.3,3.78,08/26/2021 UTC,09/27/2021,21079.0,499.0
19_gap,9/28/2021,11/2/2021,MI,,,,,,,,,,,,,,,,,,,
20,11/3/2021,12/2/2021,MI,36.11,9.42,20.49,23.49,10.35,7.83,2.51,26.91,34.3,60.03,45.77,53.83,16.81,8.12,2.67,11/03/2021 UTC,12/02/2021,22277.0,521.0
20_gap,12/3/2021,12/21/2021,MI,,,,,,,,,,,,,,,,,,,
21,12/22/2021,1/24/2022,MI,32.86,6.3,20.66,18.81,8.37,6.51,1.72,28.63,35.56,62.2,45.77,49.75,13.26,6.64,3.03,12/22/2021 UTC,01/24/2022,22961.0,531.0
21_gap,1/25/2022,3/1/2022,MI,,,,,,,,,,,,,,,,,,,
22,3/2/2022,4/4/2022,MI,38.45,7.82,24.55,26.33,15.92,10.26,2.85,18.62,24.35,54.42,34.51,55.93,14.19,8.95,6.21,03/02/2022 UTC,04/04/2022,22234.0,553.0
22_gap,4/5/2022,6/7/2022,MI,,,,,,,,,,,,,,,,,,,
23,6/8/2022,7/6/2022,MI,37.47,7.88,26.88,26.82,13.66,9.71,1.78,19.58,24.66,57.46,26.12,57.13,15.13,8.85,6.73,06/08/2022 UTC,07/06/2022,24141.0,595.0
1,4/16/2020,4/30/2020,MN,27.94,0.17,8.86,4.2,3.47,0.0,2.36,66.53,75.31,76.52,43.45,25.22,5.32,1.04,0.51,04/16/2020 UTC,04/30/2020,19489.0,444.0
1_gap,5/1/2020,5/1/2020,MN,,,,,,,,,,,,,,,,,,,
2,5/2/2020,5/15/2020,MN,27.68,0.0,10.39,3.36,3.51,0.81,1.92,57.55,69.07,70.41,44.34,28.36,7.54,2.51,0.26,05/02/2020 UTC,05/15/2020,20305.0,421.0
3,5/16/2020,6/1/2020,MN,24.6,0.96,15.44,6.16,4.94,1.8,1.6,50.72,64.17,69.95,47.68,34.97,4.8,2.1,0.15,05/16/2020 UTC,06/01/2020,18103.0,337.0
3_gap,6/2/2020,6/11/2020,MN,,,,,,,,,,,,,,,,,,,
5,6/12/2020,6/28/2020,MN,27.4,6.44,24.76,18.66,8.05,6.25,1.67,40.8,52.13,61.92,46.56,50.21,12.8,7.7,3.44,06/12/2020 UTC,06/28/2020,22470.0,491.0
5_gap,6/29/2020,7/9/2020,MN,,,,,,,,,,,,,,,,,,,
7,7/10/2020,4/27/2020,MN,33.24,5.58,17.42,17.37,8.78,5.38,2.84,39.24,55.92,67.77,59.91,41.08,11.05,3.69,2.95,07/10/2020 UTC,07/27/2020,19058.0,382.0
7_gap,7/28/2020,8/6/2020,MN,,,,,,,,,,,,,,,,,,,
9,8/7/2020,8/29/2020,MN,33.22,5.33,18.0,16.39,12.07,5.24,2.0,43.9,56.32,69.7,71.42,48.87,10.63,6.77,1.49,08/07/2020 UTC,08/26/2020,21196.0,528.0
9_gap,8/27/2020,9/2/2020,MN,,,,,,,,,,,,,,,,,,,
10,9/4/2020,9/28/2020,MN,35.9,10.26,26.92,20.72,10.0,5.4,2.72,36.4,48.06,70.28,68.97,49.9,15.29,5.38,4.07,09/04/2020 UTC,09/28/2020,20315.0,337.0
10_gap,9/29/2020,10/1/2020,MN,,,,,,,,,,,,,,,,,,,
11_12,10/2/2020,11/3/2020,MN,39.93,8.17,20.15,16.75,10.36,6.75,3.25,39.98,53.35,65.21,73.45,49.59,10.66,5.52,2.26,10/02/2020 UTC,11/04/2020,27342.0,588.0
13,11/4/2020,12/1/2020,MN,36.36,5.54,13.26,16.93,9.64,3.57,1.74,43.32,57.3,69.86,75.64,41.6,7.61,3.31,1.76,11/03/2020 UTC,12/01/2020,24017.0,466.0
13_gap,12/2/2020,12/15/2020,MN,,,,,,,,,,,,,,,,,,,
14,12/16/2020,1/11/2021,MN,27.33,4.72,17.01,8.02,6.24,3.41,1.75,48.19,61.86,68.06,79.3,42.49,8.11,3.5,2.31,12/16/2020 UTC,01/11/2021,25640.0,515.0
14_gap,1/12/2021,2/4/2021,MN,,,,,,,,,,,,,,,,,,,
16,2/5/2021,3/1/2021,MN,31.89,7.65,14.77,17.27,7.0,6.47,1.8,39.63,52.41,60.48,71.87,42.95,9.87,5.74,2.56,02/05/2021 UTC,03/01/2021,21500.0,427.0
17,4/1/2021,5/3/2021,MN,34.38,9.93,22.0,19.67,11.4,9.11,2.43,32.16,40.91,58.87,65.45,54.53,11.27,5.63,4.39,04/01/2021 UTC,05/03/2021,21733.0,408.0
17_gap,5/4/2021,6/8/2021,MN,,,,,,,,,,,,,,,,,,,
18,6/9/2021,7/6/2021,MN,35.74,9.1,25.57,26.82,10.99,9.46,2.67,19.48,28.58,57.9,31.26,57.54,16.38,9.28,5.75,06/09/2021 UTC,07/06/2021,20669.0,439.0
18_gap,7/7/2021,8/25/2021,MN,,,,,,,,,,,,,,,,,,,
19,8/26/2021,9/27/2021,MN,36.82,9.77,19.75,20.34,9.17,8.17,3.24,26.25,36.4,59.72,38.95,48.02,10.77,9.42,5.5,08/26/2021 UTC,09/27/2021,21079.0,413.0
19_gap,9/28/2021,11/2/2021,MN,,,,,,,,,,,,,,,,,,,
20,11/3/2021,12/2/2021,MN,40.55,11.78,26.45,31.59,11.43,9.94,3.88,22.15,30.42,60.34,35.29,61.34,15.09,9.03,5.57,11/03/2021 UTC,12/02/2021,22277.0,410.0
20_gap,12/3/2021,12/21/2021,MN,,,,,,,,,,,,,,,,,,,
21,12/22/2021,1/24/2022,MN,35.39,7.46,23.67,17.87,7.53,8.73,3.08,24.55,31.8,56.26,43.12,56.15,17.09,7.92,3.79,12/22/2021 UTC,01/24/2022,22961.0,436.0
21_gap,1/25/2022,3/1/2022,MN,,,,,,,,,,,,,,,,,,,
22,3/2/2022,4/4/2022,MN,39.74,11.32,29.4,27.98,13.38,11.59,4.16,15.34,21.17,53.09,27.58,59.75,12.66,11.23,6.03,03/02/2022 UTC,04/04/2022,22234.0,458.0
22_gap,4/5/2022,6/7/2022,MN,,,,,,,,,,,,,,,,,,,
23,6/8/2022,7/6/2022,MN,37.57,11.07,32.15,34.03,12.62,11.64,3.39,14.56,22.4,52.87,22.06,62.12,19.71,8.33,5.33,06/08/2022 UTC,07/06/2022,24141.0,504.0
1,4/16/2020,4/30/2020,MS,31.9,1.8,13.49,6.84,3.78,2.83,0.09,57.4,65.3,79.6,52.75,29.12,6.26,2.09,1.05,04/16/2020 UTC,04/30/2020,19489.0,383.0
1_gap,5/1/2020,5/1/2020,MS,,,,,,,,,,,,,,,,,,,
2,5/2/2020,5/15/2020,MS,29.66,1.84,14.75,4.93,4.98,6.67,0.0,56.85,69.03,81.67,56.46,37.32,8.98,2.87,0.6,05/02/2020 UTC,05/15/2020,20305.0,348.0
3,5/16/2020,6/1/2020,MS,34.11,3.08,9.83,11.52,8.69,5.51,0.0,54.24,67.31,77.51,61.74,35.47,10.4,1.75,0.0,05/16/2020 UTC,06/01/2020,18103.0,229.0
3_gap,6/2/2020,6/11/2020,MS,,,,,,,,,,,,,,,,,,,
5,6/12/2020,6/28/2020,MS,39.53,5.23,18.61,13.02,12.83,8.4,0.91,46.03,55.86,77.12,59.67,45.36,12.04,5.31,1.78,06/12/2020 UTC,06/28/2020,22470.0,342.0
5_gap,6/29/2020,7/9/2020,MS,,,,,,,,,,,,,,,,,,,
7,7/10/2020,4/27/2020,MS,35.83,2.3,16.66,18.75,12.9,6.75,0.16,53.18,63.75,74.72,74.16,47.11,13.0,4.93,1.31,07/10/2020 UTC,07/27/2020,19058.0,374.0
7_gap,7/28/2020,8/6/2020,MS,,,,,,,,,,,,,,,,,,,
9,8/7/2020,8/29/2020,MS,45.65,3.27,24.32,13.4,14.7,10.48,1.15,43.33,59.25,73.76,74.46,45.6,10.27,6.56,2.56,08/07/2020 UTC,08/26/2020,21196.0,401.0
9_gap,8/27/2020,9/2/2020,MS,,,,,,,,,,,,,,,,,,,
10,9/4/2020,9/28/2020,MS,44.39,1.18,16.77,17.43,10.29,10.89,0.06,38.84,50.71,75.69,73.98,47.13,19.83,3.81,1.94,09/04/2020 UTC,09/28/2020,20315.0,308.0
10_gap,9/29/2020,10/1/2020,MS,,,,,,,,,,,,,,,,,,,
11_12,10/2/2020,11/3/2020,MS,38.97,5.67,20.5,15.9,17.39,9.89,0.04,43.57,55.1,70.57,65.22,49.84,12.2,7.8,2.31,10/02/2020 UTC,11/04/2020,27342.0,532.0
13,11/4/2020,12/1/2020,MS,40.44,5.27,19.01,16.86,18.39,9.94,0.62,48.95,56.13,72.05,81.75,48.09,13.28,4.78,2.89,11/03/2020 UTC,12/01/2020,24017.0,461.0
13_gap,12/2/2020,12/15/2020,MS,,,,,,,,,,,,,,,,,,,
14,12/16/2020,1/11/2021,MS,30.77,3.56,14.9,17.82,12.45,8.86,1.0,43.59,52.42,76.3,76.84,43.53,11.89,5.86,1.31,12/16/2020 UTC,01/11/2021,25640.0,511.0
14_gap,1/12/2021,2/4/2021,MS,,,,,,,,,,,,,,,,,,,
16,2/5/2021,3/1/2021,MS,34.79,3.94,13.52,14.26,11.94,9.22,1.38,42.61,51.97,72.55,75.69,38.04,9.6,5.19,2.39,02/05/2021 UTC,03/01/2021,21500.0,443.0
17,4/1/2021,5/3/2021,MS,39.8,5.76,20.07,22.05,14.36,11.13,0.9,40.69,48.59,69.53,63.96,47.35,12.72,5.9,4.6,04/01/2021 UTC,05/03/2021,21733.0,449.0
17_gap,5/4/2021,6/8/2021,MS,,,,,,,,,,,,,,,,,,,
18,6/9/2021,7/6/2021,MS,36.9,4.99,15.9,21.45,14.53,12.97,0.74,31.56,39.69,62.33,51.83,46.39,8.7,6.89,2.98,06/09/2021 UTC,07/06/2021,20669.0,349.0
18_gap,7/7/2021,8/25/2021,MS,,,,,,,,,,,,,,,,,,,
19,8/26/2021,9/27/2021,MS,39.91,7.25,21.7,20.06,12.79,13.52,1.3,44.79,52.07,67.88,57.45,45.05,10.25,7.05,3.9,08/26/2021 UTC,09/27/2021,21079.0,369.0
19_gap,9/28/2021,11/2/2021,MS,,,,,,,,,,,,,,,,,,,
20,11/3/2021,12/2/2021,MS,38.41,8.75,21.28,15.94,13.78,11.38,0.76,33.34,44.92,67.09,50.6,54.39,11.83,7.35,4.3,11/03/2021 UTC,12/02/2021,22277.0,335.0
20_gap,12/3/2021,12/21/2021,MS,,,,,,,,,,,,,,,,,,,
21,12/22/2021,1/24/2022,MS,33.39,9.36,18.31,18.34,13.59,10.36,1.2,35.63,41.05,71.26,56.83,46.86,8.44,5.58,4.78,12/22/2021 UTC,01/24/2022,22961.0,352.0
21_gap,1/25/2022,3/1/2022,MS,,,,,,,,,,,,,,,,,,,
22,3/2/2022,4/4/2022,MS,37.44,9.32,29.92,28.88,15.06,14.05,1.1,22.2,28.47,63.54,39.44,59.74,12.2,8.08,5.41,03/02/2022 UTC,04/04/2022,22234.0,383.0
22_gap,4/5/2022,6/7/2022,MS,,,,,,,,,,,,,,,,,,,
23,6/8/2022,7/6/2022,MS,39.9,12.02,34.87,28.98,21.56,14.93,1.04,26.04,29.68,58.75,34.26,60.13,14.06,11.46,3.28,06/08/2022 UTC,07/06/2022,24141.0,403.0
1,4/16/2020,4/30/2020,MO,26.92,0.78,9.98,7.01,5.14,0.17,0.37,58.34,72.34,79.56,44.08,28.85,8.03,1.29,1.59,04/16/2020 UTC,04/30/2020,19489.0,424.0
1_gap,5/1/2020,5/1/2020,MO,,,,,,,,,,,,,,,,,,,
2,5/2/2020,5/15/2020,MO,27.54,2.39,11.5,8.94,5.33,2.91,0.13,56.31,67.7,74.47,50.86,35.28,7.76,3.09,0.76,05/02/2020 UTC,05/15/2020,20305.0,479.0
3,5/16/2020,6/1/2020,MO,32.14,2.98,15.04,10.67,8.83,1.57,0.69,52.71,65.85,74.41,53.78,39.61,12.62,4.51,0.97,05/16/2020 UTC,06/01/2020,18103.0,453.0
3_gap,6/2/2020,6/11/2020,MO,,,,,,,,,,,,,,,,,,,
5,6/12/2020,6/28/2020,MO,31.24,5.27,20.5,16.31,13.5,5.4,1.58,42.27,56.61,71.11,51.91,45.67,11.04,5.32,1.0,06/12/2020 UTC,06/28/2020,22470.0,482.0
5_gap,6/29/2020,7/9/2020,MO,,,,,,,,,,,,,,,,,,,
7,7/10/2020,4/27/2020,MO,35.7,3.61,20.58,21.28,10.25,7.87,1.26,39.66,46.61,67.37,60.67,54.66,15.69,5.72,3.17,07/10/2020 UTC,07/27/2020,19058.0,356.0
7_gap,7/28/2020,8/6/2020,MO,,,,,,,,,,,,,,,,,,,
9,8/7/2020,8/29/2020,MO,36.09,6.16,22.92,18.47,11.01,6.0,1.61,40.41,51.88,74.24,67.42,52.88,12.69,6.09,3.9,08/07/2020 UTC,08/26/2020,21196.0,508.0
9_gap,8/27/2020,9/2/2020,MO,,,,,,,,,,,,,,,,,,,
10,9/4/2020,9/28/2020,MO,41.35,6.97,21.72,21.71,11.37,5.94,0.68,42.61,51.18,67.35,68.06,48.56,14.63,3.44,3.97,09/04/2020 UTC,09/28/2020,20315.0,484.0
10_gap,9/29/2020,10/1/2020,MO,,,,,,,,,,,,,,,,,,,
11_12,10/2/2020,11/3/2020,MO,45.84,8.2,19.44,17.44,9.73,7.48,1.1,42.03,49.31,71.76,67.69,48.79,12.27,6.15,1.88,10/02/2020 UTC,11/04/2020,27342.0,657.0
13,11/4/2020,12/1/2020,MO,35.87,6.94,19.15,16.39,8.97,7.12,2.2,42.0,52.09,69.11,72.47,44.64,9.48,3.6,1.5,11/03/2020 UTC,12/01/2020,24017.0,529.0
13_gap,12/2/2020,12/15/2020,MO,,,,,,,,,,,,,,,,,,,
14,12/16/2020,1/11/2021,MO,32.33,5.66,18.47,16.48,10.18,5.11,2.12,48.61,57.1,73.82,75.47,44.19,10.65,4.52,0.74,12/16/2020 UTC,01/11/2021,25640.0,494.0
14_gap,1/12/2021,2/4/2021,MO,,,,,,,,,,,,,,,,,,,
16,2/5/2021,3/1/2021,MO,34.59,5.8,17.04,13.22,11.55,4.59,0.86,48.76,54.79,69.39,76.29,42.2,10.09,6.12,3.43,02/05/2021 UTC,03/01/2021,21500.0,426.0
17,4/1/2021,5/3/2021,MO,41.33,7.89,22.86,22.36,9.36,8.4,0.98,35.76,40.82,63.65,66.65,50.19,13.31,6.07,2.21,04/01/2021 UTC,05/03/2021,21733.0,428.0
17_gap,5/4/2021,6/8/2021,MO,,,,,,,,,,,,,,,,,,,
18,6/9/2021,7/6/2021,MO,34.78,8.28,21.41,22.07,10.95,8.49,1.38,25.6,31.86,61.14,36.48,56.33,14.72,7.45,3.19,06/09/2021 UTC,07/06/2021,20669.0,461.0
18_gap,7/7/2021,8/25/2021,MO,,,,,,,,,,,,,,,,,,,
19,8/26/2021,9/27/2021,MO,35.58,8.94,21.15,22.08,8.8,9.87,0.99,29.83,40.12,65.18,46.92,51.45,7.05,10.05,3.45,08/26/2021 UTC,09/27/2021,21079.0,434.0
19_gap,9/28/2021,11/2/2021,MO,,,,,,,,,,,,,,,,,,,
20,11/3/2021,12/2/2021,MO,36.24,9.92,24.58,24.51,9.72,11.87,2.98,24.64,33.16,70.16,47.08,60.03,15.02,9.81,6.57,11/03/2021 UTC,12/02/2021,22277.0,455.0
20_gap,12/3/2021,12/21/2021,MO,,,,,,,,,,,,,,,,,,,
21,12/22/2021,1/24/2022,MO,27.57,8.91,25.65,18.0,11.47,8.43,2.16,32.76,38.53,63.9,46.98,55.51,12.76,7.08,2.38,12/22/2021 UTC,01/24/2022,22961.0,494.0
21_gap,1/25/2022,3/1/2022,MO,,,,,,,,,,,,,,,,,,,
22,3/2/2022,4/4/2022,MO,39.96,8.86,24.82,27.88,12.73,10.83,4.21,18.3,25.03,59.14,29.61,59.24,15.69,9.31,5.99,03/02/2022 UTC,04/04/2022,22234.0,468.0
22_gap,4/5/2022,6/7/2022,MO,,,,,,,,,,,,,,,,,,,
23,6/8/2022,7/6/2022,MO,37.11,7.86,26.27,25.59,13.34,8.84,3.52,14.93,21.09,55.44,24.39,57.08,14.76,10.83,4.5,06/08/2022 UTC,07/06/2022,24141.0,502.0
1,4/16/2020,4/30/2020,MT,34.3,0.47,12.1,6.26,8.31,1.98,2.15,50.88,65.09,69.53,32.12,39.01,10.38,2.08,0.0,04/16/2020 UTC,04/30/2020,19489.0,214.0
1_gap,5/1/2020,5/1/2020,MT,,,,,,,,,,,,,,,,,,,
2,5/2/2020,5/15/2020,MT,36.88,2.17,13.21,12.05,6.25,3.55,1.32,44.93,62.42,73.92,34.11,36.65,9.8,2.44,0.76,05/02/2020 UTC,05/15/2020,20305.0,254.0
3,5/16/2020,6/1/2020,MT,36.39,4.42,12.97,10.63,9.02,2.36,0.32,33.69,54.57,63.99,29.85,47.37,11.98,4.02,0.0,05/16/2020 UTC,06/01/2020,18103.0,130.0
3_gap,6/2/2020,6/11/2020,MT,,,,,,,,,,,,,,,,,,,
5,6/12/2020,6/28/2020,MT,44.44,7.69,22.78,28.85,8.42,3.23,0.28,27.22,40.09,63.42,33.22,51.91,15.82,7.61,0.76,06/12/2020 UTC,06/28/2020,22470.0,297.0
5_gap,6/29/2020,7/9/2020,MT,,,,,,,,,,,,,,,,,,,
7,7/10/2020,4/27/2020,MT,35.9,7.3,19.89,13.8,11.54,2.38,0.88,33.84,50.04,71.43,59.2,50.58,14.94,4.62,2.12,07/10/2020 UTC,07/27/2020,19058.0,292.0
7_gap,7/28/2020,8/6/2020,MT,,,,,,,,,,,,,,,,,,,
9,8/7/2020,8/29/2020,MT,44.69,3.21,24.28,16.57,10.45,3.93,0.67,32.15,53.04,71.28,73.37,55.64,20.27,5.53,0.55,08/07/2020 UTC,08/26/2020,21196.0,210.0
9_gap,8/27/2020,9/2/2020,MT,,,,,,,,,,,,,,,,,,,
10,9/4/2020,9/28/2020,MT,49.65,6.76,22.08,22.91,12.73,8.34,1.03,31.26,46.21,67.61,63.33,52.98,15.24,5.42,1.41,09/04/2020 UTC,09/28/2020,20315.0,242.0
10_gap,9/29/2020,10/1/2020,MT,,,,,,,,,,,,,,,,,,,
11_12,10/2/2020,11/3/2020,MT,39.26,5.46,21.63,9.69,15.68,0.0,0.0,39.2,45.3,66.45,69.82,43.81,13.35,5.39,1.27,10/02/2020 UTC,11/04/2020,27342.0,435.0
13,11/4/2020,12/1/2020,MT,45.19,16.11,20.02,24.44,15.56,9.55,3.68,37.24,45.74,66.8,71.17,48.94,13.3,3.18,1.32,11/03/2020 UTC,12/01/2020,24017.0,460.0
13_gap,12/2/2020,12/15/2020,MT,,,,,,,,,,,,,,,,,,,
14,12/16/2020,1/11/2021,MT,40.18,5.96,17.02,17.44,10.43,6.9,0.47,34.04,45.91,63.02,71.83,48.44,13.45,4.98,2.09,12/16/2020 UTC,01/11/2021,25640.0,540.0
14_gap,1/12/2021,2/4/2021,MT,,,,,,,,,,,,,,,,,,,
16,2/5/2021,3/1/2021,MT,35.14,9.98,22.32,20.77,8.21,5.24,0.77,33.3,46.62,59.9,70.29,49.76,11.55,6.36,2.5,02/05/2021 UTC,03/01/2021,21500.0,405.0
17,4/1/2021,5/3/2021,MT,39.08,10.67,23.95,20.4,11.06,9.23,2.04,28.34,37.62,63.79,59.76,53.34,13.84,5.29,2.74,04/01/2021 UTC,05/03/2021,21733.0,353.0
17_gap,5/4/2021,6/8/2021,MT,,,,,,,,,,,,,,,,,,,
18,6/9/2021,7/6/2021,MT,32.33,11.98,24.7,26.79,10.12,6.53,0.9,18.08,27.55,60.7,20.76,56.98,14.56,9.22,3.32,06/09/2021 UTC,07/06/2021,20669.0,312.0
18_gap,7/7/2021,8/25/2021,MT,,,,,,,,,,,,,,,,,,,
19,8/26/2021,9/27/2021,MT,32.92,7.22,20.09,19.61,10.37,6.04,0.78,18.21,29.15,59.78,30.97,55.37,16.7,6.33,2.66,08/26/2021 UTC,09/27/2021,21079.0,310.0
19_gap,9/28/2021,11/2/2021,MT,,,,,,,,,,,,,,,,,,,
20,11/3/2021,12/2/2021,MT,34.82,7.72,18.1,17.69,6.69,5.14,0.12,18.6,26.38,54.75,30.24,56.66,13.84,8.09,1.39,11/03/2021 UTC,12/02/2021,22277.0,300.0
20_gap,12/3/2021,12/21/2021,MT,,,,,,,,,,,,,,,,,,,
21,12/22/2021,1/24/2022,MT,31.8,4.51,20.06,16.94,6.65,5.48,0.64,22.19,31.02,54.96,30.26,52.94,15.82,5.24,3.33,12/22/2021 UTC,01/24/2022,22961.0,351.0
21_gap,1/25/2022,3/1/2022,MT,,,,,,,,,,,,,,,,,,,
22,3/2/2022,4/4/2022,MT,45.91,12.69,23.42,29.67,11.73,7.41,0.46,14.35,23.59,53.1,16.44,62.21,15.76,14.94,6.97,03/02/2022 UTC,04/04/2022,22234.0,368.0
22_gap,4/5/2022,6/7/2022,MT,,,,,,,,,,,,,,,,,,,
23,6/8/2022,7/6/2022,MT,37.97,9.43,28.67,28.9,12.22,6.06,0.77,10.84,15.21,47.94,10.8,65.39,20.33,12.62,6.82,06/08/2022 UTC,07/06/2022,24141.0,307.0
1,4/16/2020,4/30/2020,NE,35.83,2.02,13.27,6.21,3.73,1.62,0.81,54.24,65.38,78.57,41.21,35.36,6.26,2.45,0.66,04/16/2020 UTC,04/30/2020,19489.0,329.0
1_gap,5/1/2020,5/1/2020,NE,,,,,,,,,,,,,,,,,,,
2,5/2/2020,5/15/2020,NE,37.66,0.95,10.81,3.31,6.42,1.46,0.36,52.47,67.6,74.81,41.94,34.57,5.28,1.5,0.39,05/02/2020 UTC,05/15/2020,20305.0,264.0
3,5/16/2020,6/1/2020,NE,31.21,4.74,8.52,7.11,4.16,6.15,2.59,50.55,67.2,70.5,58.08,37.56,8.63,1.21,0.0,05/16/2020 UTC,06/01/2020,18103.0,157.0
3_gap,6/2/2020,6/11/2020,NE,,,,,,,,,,,,,,,,,,,
5,6/12/2020,6/28/2020,NE,39.15,6.91,27.22,20.82,15.27,4.19,1.46,36.21,47.76,66.24,50.06,50.44,16.63,3.75,1.21,06/12/2020 UTC,06/28/2020,22470.0,382.0
5_gap,6/29/2020,7/9/2020,NE,,,,,,,,,,,,,,,,,,,
7,7/10/2020,4/27/2020,NE,39.13,6.11,17.68,21.7,12.77,8.49,0.57,37.88,53.29,67.23,54.18,52.23,12.18,8.37,1.12,07/10/2020 UTC,07/27/2020,19058.0,334.0
7_gap,7/28/2020,8/6/2020,NE,,,,,,,,,,,,,,,,,,,
9,8/7/2020,8/29/2020,NE,43.3,3.26,18.96,24.18,10.37,7.13,1.54,30.03,43.52,71.01,67.8,55.99,14.41,3.42,5.08,08/07/2020 UTC,08/26/2020,21196.0,306.0
9_gap,8/27/2020,9/2/2020,NE,,,,,,,,,,,,,,,,,,,
10,9/4/2020,9/28/2020,NE,39.76,5.8,20.44,19.06,13.17,7.22,0.48,37.7,51.1,70.11,67.0,51.49,16.08,5.83,1.75,09/04/2020 UTC,09/28/2020,20315.0,275.0
10_gap,9/29/2020,10/1/2020,NE,,,,,,,,,,,,,,,,,,,
11_12,10/2/2020,11/3/2020,NE,45.67,10.85,16.29,18.18,10.79,9.27,1.79,35.47,44.98,66.98,66.59,50.66,14.99,6.08,2.44,10/02/2020 UTC,11/04/2020,27342.0,478.0
13,11/4/2020,12/1/2020,NE,39.72,6.16,11.26,15.92,10.75,3.47,1.55,47.59,57.47,66.65,72.08,44.06,10.46,3.32,0.85,11/03/2020 UTC,12/01/2020,24017.0,419.0
13_gap,12/2/2020,12/15/2020,NE,,,,,,,,,,,,,,,,,,,
14,12/16/2020,1/11/2021,NE,36.89,6.4,16.96,17.5,8.41,5.16,1.79,42.57,51.44,69.13,76.01,48.33,10.88,5.02,1.2,12/16/2020 UTC,01/11/2021,25640.0,598.0
14_gap,1/12/2021,2/4/2021,NE,,,,,,,,,,,,,,,,,,,
16,2/5/2021,3/1/2021,NE,39.87,8.36,14.26,13.62,7.89,9.73,1.25,34.8,46.54,66.46,72.02,51.05,11.44,8.78,3.24,02/05/2021 UTC,03/01/2021,21500.0,437.0
17,4/1/2021,5/3/2021,NE,38.95,12.52,24.57,24.95,12.71,14.37,4.62,28.54,38.96,58.79,57.83,60.34,12.25,11.43,2.76,04/01/2021 UTC,05/03/2021,21733.0,446.0
17_gap,5/4/2021,6/8/2021,NE,,,,,,,,,,,,,,,,,,,
18,6/9/2021,7/6/2021,NE,44.34,8.41,26.46,26.49,10.74,11.36,3.48,17.53,20.08,62.84,29.19,58.61,11.79,11.25,3.75,06/09/2021 UTC,07/06/2021,20669.0,346.0
18_gap,7/7/2021,8/25/2021,NE,,,,,,,,,,,,,,,,,,,
19,8/26/2021,9/27/2021,NE,43.19,9.17,22.82,23.23,6.64,10.01,2.17,28.05,35.4,61.3,40.92,53.76,15.35,6.08,4.69,08/26/2021 UTC,09/27/2021,21079.0,326.0
19_gap,9/28/2021,11/2/2021,NE,,,,,,,,,,,,,,,,,,,
20,11/3/2021,12/2/2021,NE,36.98,12.47,25.56,24.59,7.48,7.58,2.67,23.73,28.39,54.66,37.15,53.09,14.68,10.39,3.24,11/03/2021 UTC,12/02/2021,22277.0,322.0
20_gap,12/3/2021,12/21/2021,NE,,,,,,,,,,,,,,,,,,,
21,12/22/2021,1/24/2022,NE,34.45,7.63,26.07,20.9,9.89,10.19,2.84,21.1,28.95,60.1,39.53,52.88,13.27,10.06,2.53,12/22/2021 UTC,01/24/2022,22961.0,376.0
21_gap,1/25/2022,3/1/2022,NE,,,,,,,,,,,,,,,,,,,
22,3/2/2022,4/4/2022,NE,46.52,11.13,25.0,26.81,10.48,11.89,1.05,11.82,19.28,55.34,19.63,61.4,12.95,12.66,10.59,03/02/2022 UTC,04/04/2022,22234.0,395.0
22_gap,4/5/2022,6/7/2022,NE,,,,,,,,,,,,,,,,,,,
23,6/8/2022,7/6/2022,NE,38.77,9.45,25.97,26.11,9.32,14.55,1.55,14.84,19.07,52.41,18.14,63.19,15.45,11.33,9.0,06/08/2022 UTC,07/06/2022,24141.0,414.0
