Wave,month_intervals,End_Date,death_agg30,death_agg14,death_agg7,State,new_ind
interpolation,month_end,2020-03-31,0,0,0,Alabama,0
interpolation,mid_month,2020-04-15,114,114,114,Alabama,1
1,month_end,2020-04-30,256,138,60,Alabama,2
interpolation,mid_month,2020-05-15,359,201,104,Alabama,3
2,from wave,2020-05-21,359,179,72,Alabama,4
interpolation,month_end,2020-05-31,346,133,69,Alabama,5
3,from wave,2020-06-01,341,142,79,Alabama,6
gap3_5,from wave,2020-06-11,341,161,91,Alabama,7
interpolation,mid_month,2020-06-15,290,143,81,Alabama,8
5,from wave,2020-06-28,328,146,81,Alabama,9
interpolation,month_end,2020-06-30,311,155,88,Alabama,10
gap5_7,from wave,2020-07-09,340,167,86,Alabama,11
interpolation,mid_month,2020-07-15,391,214,131,Alabama,12
7,from wave,2020-07-26,560,342,170,Alabama,13
interpolation,month_end,2020-07-31,615,335,168,Alabama,14
gap7_9,from wave,2020-08-06,688,331,157,Alabama,15
interpolation,mid_month,2020-08-15,682,313,158,Alabama,16
9,from wave,2020-08-26,564,190,101,Alabama,17
interpolation,month_end,2020-08-31,582,264,149,Alabama,18
gap9_10,from wave,2020-09-03,584,273,172,Alabama,19
interpolation,mid_month,2020-09-15,459,173,79,Alabama,20
10,month_end,2020-09-30,355,130,60,Alabama,21
interpolation,mid_month,2020-10-15,351,166,105,Alabama,22
11,from wave,2020-10-23,386,206,87,Alabama,23
interpolation,month_end,2020-10-31,392,146,73,Alabama,24
12,from wave,2020-11-14,525,299,182,Alabama,25
interpolation,mid_month,2020-11-15,490,279,164,Alabama,26
13,month_end,2020-11-30,645,329,120,Alabama,27
gap13_14,mid_month,2020-12-15,856,524,210,Alabama,28
interpolation,month_end,2020-12-31,1196,576,187,Alabama,29
14,from wave,2021-01-12,1245,635,469,Alabama,30
interpolation,mid_month,2021-01-15,1821,1118,865,Alabama,31
interpolation,month_end,2021-01-31,2739,1447,909,Alabama,32
gap14_16,from wave,2021-02-04,3325,1920,1031,Alabama,33
interpolation,mid_month,2021-02-15,3212,1554,727,Alabama,34
16,month_end,2021-02-28,2590,688,340,Alabama,35
interpolation,mid_month,2021-03-15,1147,398,179,Alabama,36
gap16_17,month_end,2021-03-31,598,190,77,Alabama,37
interpolation,mid_month,2021-04-15,399,174,76,Alabama,38
interpolation,month_end,2021-04-30,360,151,63,Alabama,39
17,from wave,2021-05-03,306,123,62,Alabama,40
interpolation,mid_month,2021-05-15,296,128,58,Alabama,41
interpolation,month_end,2021-05-31,250,108,34,Alabama,42
gap17_18,from wave,2021-06-08,239,105,71,Alabama,43
interpolation,mid_month,2021-06-15,236,128,57,Alabama,44
interpolation,month_end,2021-06-30,192,57,27,Alabama,45
18,mid_month,2021-07-15,154,76,41,Alabama,46
interpolation,month_end,2021-07-31,158,68,38,Alabama,47
interpolation,mid_month,2021-08-15,326,229,141,Alabama,48
gap18_19,from wave,2021-08-25,517,352,168,Alabama,49
interpolation,month_end,2021-08-31,686,423,222,Alabama,50
interpolation,mid_month,2021-09-15,920,435,298,Alabama,51
19,from wave,2021-09-28,1806,1347,815,Alabama,52
interpolation,month_end,2021-09-30,1978,1416,535,Alabama,53
interpolation,mid_month,2021-10-15,2383,802,426,Alabama,54
interpolation,month_end,2021-10-31,1274,394,167,Alabama,55
gap19_20,from wave,2021-11-02,1104,394,166,Alabama,56
interpolation,mid_month,2021-11-15,839,408,147,Alabama,57
interpolation,month_end,2021-11-30,543,135,43,Alabama,58
20,from wave,2021-12-02,570,118,41,Alabama,59
interpolation,mid_month,2021-12-15,304,166,86,Alabama,60
gap20_21,from wave,2021-12-21,280,168,88,Alabama,61
interpolation,month_end,2021-12-31,336,135,53,Alabama,62
interpolation,mid_month,2022-01-15,337,186,56,Alabama,63
21,from wave,2022-01-25,408,202,92,Alabama,64
interpolation,month_end,2022-01-31,631,352,260,Alabama,65
interpolation,mid_month,2022-02-15,930,485,184,Alabama,66
interpolation,month_end,2022-02-28,1178,654,292,Alabama,67
gap21_22,from wave,2022-03-01,1139,654,292,Alabama,68
interpolation,mid_month,2022-03-15,1319,665,321,Alabama,69
interpolation,month_end,2022-03-31,1059,340,115,Alabama,70
22,from wave,2022-04-09,682,166,82,Alabama,71
interpolation,mid_month,2022-04-15,532,185,101,Alabama,72
interpolation,month_end,2022-04-30,283,65,26,Alabama,73
interpolation,mid_month,2022-05-15,153,61,27,Alabama,74
interpolation,month_end,2022-05-31,91,27,9,Alabama,75
gap22_23,from wave,2022-06-07,75,27,18,Alabama,76
interpolation,mid_month,2022-06-15,67,31,19,Alabama,77
interpolation,month_end,2022-06-30,82,44,18,Alabama,78
23,from wave,2022-07-06,102,69,27,Alabama,79
interpolation,mid_month,2022-07-15,126,66,40,Alabama,80
interpolation,month_end,2022-07-31,136,69,19,Alabama,81
gap23_24,from wave,2022-08-10,188,85,83,Alabama,82
interpolation,mid_month,2022-08-15,204,135,52,Alabama,83
interpolation,month_end,2022-08-31,157,22,7,Alabama,84
24,from wave,2022-09-11,213,191,79,Alabama,85
interpolation,mid_month,2022-09-15,213,191,79,Alabama,86
interpolation,month_end,2022-09-30,374,100,27,Alabama,87
gap24_25,from wave,2022-10-05,262,100,27,Alabama,88
interpolation,mid_month,2022-10-15,266,83,32,Alabama,89
interpolation,month_end,2022-10-31,136,53,25,Alabama,90
25,from wave,2022-11-09,85,25,0,Alabama,91
interpolation,mid_month,2022-11-15,103,50,50,Alabama,92
interpolation,month_end,2022-11-30,73,23,14,Alabama,93
interpolation,mid_month,2022-12-15,96,52,22,Alabama,94
gap25_26,from wave,2022-12-21,87,52,22,Alabama,95
interpolation,month_end,2022-12-31,52,0,0,Alabama,96
interpolation,mid_month,2023-01-15,0,0,0,Alabama,97
26,from wave,2023-01-17,0,0,0,Alabama,98
interpolation,month_end,2023-01-31,0,0,0,Alabama,99
interpolation,mid_month,2023-02-15,0,0,0,Alabama,100
interpolation,month_end,2023-02-28,0,0,0,Alabama,101
interpolation,mid_month,2023-03-15,0,0,0,Alabama,102
interpolation,month_end,2023-03-31,0,0,0,Alabama,103
gap26_27,from wave,2023-04-04,0,0,0,Alabama,104
interpolation,mid_month,2023-04-15,0,0,0,Alabama,105
interpolation,month_end,2023-04-30,0,0,0,Alabama,106
27,from wave,2023-05-05,0,0,0,Alabama,107
interpolation,mid_month,2023-05-15,0,0,0,Alabama,108
interpolation,month_end,2023-05-31,0,0,0,Alabama,109
interpolation,month_end,2020-03-31,0,0,0,Alaska,0
interpolation,mid_month,2020-04-15,9,9,9,Alaska,1
1,month_end,2020-04-30,9,0,0,Alaska,2
interpolation,mid_month,2020-05-15,1,1,0,Alaska,3
2,from wave,2020-05-21,1,0,0,Alaska,4
interpolation,month_end,2020-05-31,1,0,0,Alaska,5
3,from wave,2020-06-01,1,0,0,Alaska,6
gap3_5,from wave,2020-06-11,1,1,1,Alaska,7
interpolation,mid_month,2020-06-15,2,2,2,Alaska,8
5,from wave,2020-06-28,4,2,2,Alaska,9
interpolation,month_end,2020-06-30,4,2,2,Alaska,10
gap5_7,from wave,2020-07-09,7,5,3,Alaska,11
interpolation,mid_month,2020-07-15,5,3,0,Alaska,12
7,from wave,2020-07-26,8,3,2,Alaska,13
interpolation,month_end,2020-07-31,9,6,4,Alaska,14
gap7_9,from wave,2020-08-06,9,6,3,Alaska,15
interpolation,mid_month,2020-08-15,10,4,2,Alaska,16
9,from wave,2020-08-26,16,10,7,Alaska,17
interpolation,month_end,2020-08-31,14,9,5,Alaska,18
gap9_10,from wave,2020-09-03,14,10,2,Alaska,19
interpolation,mid_month,2020-09-15,16,7,2,Alaska,20
10,month_end,2020-09-30,19,12,11,Alaska,21
interpolation,mid_month,2020-10-15,21,9,5,Alaska,22
11,from wave,2020-10-23,23,7,3,Alaska,23
interpolation,month_end,2020-10-31,25,15,13,Alaska,24
12,from wave,2020-11-14,34,18,13,Alaska,25
interpolation,mid_month,2020-11-15,35,18,14,Alaska,26
13,month_end,2020-11-30,41,22,17,Alaska,27
gap13_14,mid_month,2020-12-15,76,54,30,Alaska,28
interpolation,month_end,2020-12-31,81,22,6,Alaska,29
14,from wave,2021-01-12,48,24,6,Alaska,30
interpolation,mid_month,2021-01-15,49,22,5,Alaska,31
interpolation,month_end,2021-01-31,56,33,3,Alaska,32
gap14_16,from wave,2021-02-04,61,26,18,Alaska,33
interpolation,mid_month,2021-02-15,53,20,3,Alaska,34
16,month_end,2021-02-28,28,8,1,Alaska,35
interpolation,mid_month,2021-03-15,24,16,1,Alaska,36
gap16_17,month_end,2021-03-31,23,7,1,Alaska,37
interpolation,mid_month,2021-04-15,8,1,1,Alaska,38
interpolation,month_end,2021-04-30,34,13,13,Alaska,39
17,from wave,2021-05-03,34,13,13,Alaska,40
interpolation,mid_month,2021-05-15,39,6,4,Alaska,41
interpolation,month_end,2021-05-31,22,16,0,Alaska,42
gap17_18,from wave,2021-06-08,20,0,0,Alaska,43
interpolation,mid_month,2021-06-15,20,4,4,Alaska,44
interpolation,month_end,2021-06-30,5,1,1,Alaska,45
18,mid_month,2021-07-15,8,4,4,Alaska,46
interpolation,month_end,2021-07-31,12,8,5,Alaska,47
interpolation,mid_month,2021-08-15,22,14,5,Alaska,48
gap18_19,from wave,2021-08-25,43,27,19,Alaska,49
interpolation,month_end,2021-08-31,49,35,24,Alaska,50
interpolation,mid_month,2021-09-15,63,22,16,Alaska,51
19,from wave,2021-09-28,115,94,79,Alaska,52
interpolation,month_end,2021-09-30,129,99,86,Alaska,53
interpolation,mid_month,2021-10-15,148,37,24,Alaska,54
interpolation,month_end,2021-10-31,148,108,27,Alaska,55
gap19_20,from wave,2021-11-02,150,111,25,Alaska,56
interpolation,mid_month,2021-11-15,214,106,90,Alaska,57
interpolation,month_end,2021-11-30,153,45,16,Alaska,58
20,from wave,2021-12-02,153,39,11,Alaska,59
interpolation,mid_month,2021-12-15,56,7,4,Alaska,60
gap20_21,from wave,2021-12-21,84,63,59,Alaska,61
interpolation,month_end,2021-12-31,98,89,2,Alaska,62
interpolation,mid_month,2022-01-15,98,9,7,Alaska,63
21,from wave,2022-01-25,96,92,85,Alaska,64
interpolation,month_end,2022-01-31,107,98,34,Alaska,65
interpolation,mid_month,2022-02-15,127,29,21,Alaska,66
interpolation,month_end,2022-02-28,78,49,22,Alaska,67
gap21_22,from wave,2022-03-01,78,49,22,Alaska,68
interpolation,mid_month,2022-03-15,87,38,10,Alaska,69
interpolation,month_end,2022-03-31,65,26,6,Alaska,70
22,from wave,2022-04-09,27,6,0,Alaska,71
interpolation,mid_month,2022-04-15,34,7,7,Alaska,72
interpolation,month_end,2022-04-30,24,17,4,Alaska,73
interpolation,mid_month,2022-05-15,33,16,15,Alaska,74
interpolation,month_end,2022-05-31,33,17,-1,Alaska,75
gap22_23,from wave,2022-06-07,32,-1,0,Alaska,76
interpolation,mid_month,2022-06-15,17,0,0,Alaska,77
interpolation,month_end,2022-06-30,0,0,0,Alaska,78
23,from wave,2022-07-06,0,0,0,Alaska,79
interpolation,mid_month,2022-07-15,24,24,24,Alaska,80
interpolation,month_end,2022-07-31,24,0,0,Alaska,81
gap23_24,from wave,2022-08-10,24,0,0,Alaska,82
interpolation,mid_month,2022-08-15,21,21,21,Alaska,83
interpolation,month_end,2022-08-31,29,8,8,Alaska,84
24,from wave,2022-09-11,8,0,0,Alaska,85
interpolation,mid_month,2022-09-15,34,26,26,Alaska,86
interpolation,month_end,2022-09-30,26,0,0,Alaska,87
gap24_25,from wave,2022-10-05,26,0,0,Alaska,88
interpolation,mid_month,2022-10-15,29,29,0,Alaska,89
interpolation,month_end,2022-10-31,49,20,20,Alaska,90
25,from wave,2022-11-09,20,20,0,Alaska,91
interpolation,mid_month,2022-11-15,20,0,0,Alaska,92
interpolation,month_end,2022-11-30,23,0,0,Alaska,93
interpolation,mid_month,2022-12-15,23,0,0,Alaska,94
gap25_26,from wave,2022-12-21,0,0,0,Alaska,95
interpolation,month_end,2022-12-31,0,0,0,Alaska,96
interpolation,mid_month,2023-01-15,0,0,0,Alaska,97
26,from wave,2023-01-17,0,0,0,Alaska,98
interpolation,month_end,2023-01-31,0,0,0,Alaska,99
interpolation,mid_month,2023-02-15,0,0,0,Alaska,100
interpolation,month_end,2023-02-28,0,0,0,Alaska,101
interpolation,mid_month,2023-03-15,0,0,0,Alaska,102
interpolation,month_end,2023-03-31,0,0,0,Alaska,103
gap26_27,from wave,2023-04-04,0,0,0,Alaska,104
interpolation,mid_month,2023-04-15,0,0,0,Alaska,105
interpolation,month_end,2023-04-30,0,0,0,Alaska,106
27,from wave,2023-05-05,0,0,0,Alaska,107
interpolation,mid_month,2023-05-15,0,0,0,Alaska,108
interpolation,month_end,2023-05-31,0,0,0,Alaska,109
interpolation,month_end,2020-03-31,0,0,0,Arizona,0
interpolation,mid_month,2020-04-15,131,131,131,Arizona,1
1,month_end,2020-04-30,308,166,77,Arizona,2
interpolation,mid_month,2020-05-15,493,304,174,Arizona,3
2,from wave,2020-05-21,556,321,152,Arizona,4
interpolation,month_end,2020-05-31,584,225,103,Arizona,5
3,from wave,2020-06-01,577,227,106,Arizona,6
gap3_5,from wave,2020-06-11,559,267,118,Arizona,7
interpolation,mid_month,2020-06-15,540,284,140,Arizona,8
5,from wave,2020-06-28,720,391,234,Arizona,9
interpolation,month_end,2020-06-30,694,395,247,Arizona,10
gap5_7,from wave,2020-07-09,910,496,238,Arizona,11
interpolation,mid_month,2020-07-15,1146,692,410,Arizona,12
7,from wave,2020-07-26,1791,1135,556,Arizona,13
interpolation,month_end,2020-07-31,1981,1134,563,Arizona,14
gap7_9,from wave,2020-08-06,2103,958,478,Arizona,15
interpolation,mid_month,2020-08-15,1989,729,342,Arizona,16
9,from wave,2020-08-26,1487,593,263,Arizona,17
interpolation,month_end,2020-08-31,1336,524,259,Arizona,18
gap9_10,from wave,2020-09-03,1286,431,169,Arizona,19
interpolation,mid_month,2020-09-15,830,293,103,Arizona,20
10,month_end,2020-09-30,602,288,134,Arizona,21
interpolation,mid_month,2020-10-15,450,122,39,Arizona,22
11,from wave,2020-10-23,361,116,70,Arizona,23
interpolation,month_end,2020-10-31,284,128,69,Arizona,24
12,from wave,2020-11-14,485,323,148,Arizona,25
interpolation,mid_month,2020-11-15,511,321,153,Arizona,26
13,month_end,2020-11-30,700,332,170,Arizona,27
gap13_14,mid_month,2020-12-15,1058,719,408,Arizona,28
interpolation,month_end,2020-12-31,2079,1188,539,Arizona,29
14,from wave,2021-01-12,2825,1678,1083,Arizona,30
interpolation,mid_month,2021-01-15,3433,1991,1114,Arizona,31
interpolation,month_end,2021-01-31,4234,1850,928,Arizona,32
gap14_16,from wave,2021-02-04,4512,2048,933,Arizona,33
interpolation,mid_month,2021-02-15,3938,1858,930,Arizona,34
16,month_end,2021-02-28,3148,1019,487,Arizona,35
interpolation,mid_month,2021-03-15,1719,573,225,Arizona,36
gap16_17,month_end,2021-03-31,961,367,143,Arizona,37
interpolation,mid_month,2021-04-15,556,142,86,Arizona,38
interpolation,month_end,2021-04-30,364,182,84,Arizona,39
17,from wave,2021-05-03,355,191,76,Arizona,40
interpolation,mid_month,2021-05-15,338,123,56,Arizona,41
interpolation,month_end,2021-05-31,304,169,73,Arizona,42
gap17_18,from wave,2021-06-08,293,145,72,Arizona,43
interpolation,mid_month,2021-06-15,309,140,68,Arizona,44
interpolation,month_end,2021-06-30,302,151,72,Arizona,45
18,mid_month,2021-07-15,308,140,72,Arizona,46
interpolation,month_end,2021-07-31,288,124,80,Arizona,47
interpolation,mid_month,2021-08-15,379,216,86,Arizona,48
gap18_19,from wave,2021-08-25,467,238,171,Arizona,49
interpolation,month_end,2021-08-31,541,323,187,Arizona,50
interpolation,mid_month,2021-09-15,840,518,251,Arizona,51
19,from wave,2021-09-28,1033,625,299,Arizona,52
interpolation,month_end,2021-09-30,1172,626,301,Arizona,53
interpolation,mid_month,2021-10-15,1149,469,171,Arizona,54
interpolation,month_end,2021-10-31,1169,653,302,Arizona,55
gap19_20,from wave,2021-11-02,1021,655,294,Arizona,56
interpolation,mid_month,2021-11-15,1162,499,244,Arizona,57
interpolation,month_end,2021-11-30,1077,577,288,Arizona,58
20,from wave,2021-12-02,1195,598,252,Arizona,59
interpolation,mid_month,2021-12-15,1590,936,482,Arizona,60
gap20_21,from wave,2021-12-21,1580,930,479,Arizona,61
interpolation,month_end,2021-12-31,1864,827,330,Arizona,62
interpolation,mid_month,2022-01-15,1744,839,452,Arizona,63
21,from wave,2022-01-25,1641,851,412,Arizona,64
interpolation,month_end,2022-01-31,1977,1035,583,Arizona,65
interpolation,mid_month,2022-02-15,2113,976,542,Arizona,66
interpolation,month_end,2022-02-28,1945,766,324,Arizona,67
gap21_22,from wave,2022-03-01,1763,765,324,Arizona,68
interpolation,mid_month,2022-03-15,926,144,382,Arizona,69
interpolation,month_end,2022-03-31,1322,721,385,Arizona,70
22,from wave,2022-04-09,1591,798,413,Arizona,71
interpolation,mid_month,2022-04-15,1733,555,142,Arizona,72
interpolation,month_end,2022-04-30,683,128,99,Arizona,73
interpolation,mid_month,2022-05-15,407,279,41,Arizona,74
interpolation,month_end,2022-05-31,348,69,40,Arizona,75
gap22_23,from wave,2022-06-07,143,73,33,Arizona,76
interpolation,mid_month,2022-06-15,142,73,40,Arizona,77
interpolation,month_end,2022-06-30,216,115,63,Arizona,78
23,from wave,2022-07-06,183,115,63,Arizona,79
interpolation,mid_month,2022-07-15,260,117,60,Arizona,80
interpolation,month_end,2022-07-31,253,136,70,Arizona,81
gap23_24,from wave,2022-08-10,270,144,74,Arizona,82
interpolation,mid_month,2022-08-15,269,133,59,Arizona,83
interpolation,month_end,2022-08-31,279,146,65,Arizona,84
24,from wave,2022-09-11,261,115,48,Arizona,85
interpolation,mid_month,2022-09-15,343,130,82,Arizona,86
interpolation,month_end,2022-09-30,323,126,44,Arizona,87
gap24_25,from wave,2022-10-05,256,126,44,Arizona,88
interpolation,mid_month,2022-10-15,211,85,49,Arizona,89
interpolation,month_end,2022-10-31,178,93,34,Arizona,90
25,from wave,2022-11-09,167,59,25,Arizona,91
interpolation,mid_month,2022-11-15,158,65,40,Arizona,92
interpolation,month_end,2022-11-30,161,96,62,Arizona,93
interpolation,mid_month,2022-12-15,316,178,107,Arizona,94
gap25_26,from wave,2022-12-21,282,178,107,Arizona,95
interpolation,month_end,2022-12-31,178,0,0,Arizona,96
interpolation,mid_month,2023-01-15,0,0,0,Arizona,97
26,from wave,2023-01-17,0,0,0,Arizona,98
interpolation,month_end,2023-01-31,0,0,0,Arizona,99
interpolation,mid_month,2023-02-15,0,0,0,Arizona,100
interpolation,month_end,2023-02-28,0,0,0,Arizona,101
interpolation,mid_month,2023-03-15,0,0,0,Arizona,102
interpolation,month_end,2023-03-31,0,0,0,Arizona,103
gap26_27,from wave,2023-04-04,0,0,0,Arizona,104
interpolation,mid_month,2023-04-15,0,0,0,Arizona,105
interpolation,month_end,2023-04-30,0,0,0,Arizona,106
27,from wave,2023-05-05,0,0,0,Arizona,107
interpolation,mid_month,2023-05-15,0,0,0,Arizona,108
interpolation,month_end,2023-05-31,0,0,0,Arizona,109
interpolation,month_end,2020-03-31,0,0,0,Arkansas,0
interpolation,mid_month,2020-04-15,32,32,32,Arkansas,1
1,month_end,2020-04-30,57,24,15,Arkansas,2
interpolation,mid_month,2020-05-15,66,37,11,Arkansas,3
2,from wave,2020-05-21,66,20,10,Arkansas,4
interpolation,month_end,2020-05-31,72,35,18,Arkansas,5
3,from wave,2020-06-01,69,35,17,Arkansas,6
gap3_5,from wave,2020-06-11,71,45,23,Arkansas,7
interpolation,mid_month,2020-06-15,81,46,25,Arkansas,8
5,from wave,2020-06-28,134,82,35,Arkansas,9
interpolation,month_end,2020-06-30,132,83,38,Arkansas,10
gap5_7,from wave,2020-07-09,150,65,28,Arkansas,11
interpolation,mid_month,2020-07-15,152,61,30,Arkansas,12
7,from wave,2020-07-26,159,80,42,Arkansas,13
interpolation,month_end,2020-07-31,172,101,56,Arkansas,14
gap7_9,from wave,2020-08-06,216,128,74,Arkansas,15
interpolation,mid_month,2020-08-15,252,134,66,Arkansas,16
9,from wave,2020-08-26,310,145,92,Arkansas,17
interpolation,month_end,2020-08-31,331,185,97,Arkansas,18
gap9_10,from wave,2020-09-03,366,210,109,Arkansas,19
interpolation,mid_month,2020-09-15,392,195,84,Arkansas,20
10,month_end,2020-09-30,566,200,141,Arkansas,21
interpolation,mid_month,2020-10-15,642,265,152,Arkansas,22
11,from wave,2020-10-23,563,269,127,Arkansas,23
interpolation,month_end,2020-10-31,531,235,118,Arkansas,24
12,from wave,2020-11-14,514,248,92,Arkansas,25
interpolation,mid_month,2020-11-15,514,234,91,Arkansas,26
13,month_end,2020-11-30,570,287,113,Arkansas,27
gap13_14,mid_month,2020-12-15,831,488,277,Arkansas,28
interpolation,month_end,2020-12-31,1135,563,261,Arkansas,29
14,from wave,2021-01-12,1170,544,281,Arkansas,30
interpolation,mid_month,2021-01-15,1212,552,302,Arkansas,31
interpolation,month_end,2021-01-31,1162,545,275,Arkansas,32
gap14_16,from wave,2021-02-04,1185,544,243,Arkansas,33
interpolation,mid_month,2021-02-15,1002,397,189,Arkansas,34
16,month_end,2021-02-28,633,165,69,Arkansas,35
interpolation,mid_month,2021-03-15,262,231,155,Arkansas,36
gap16_17,month_end,2021-03-31,373,123,69,Arkansas,37
interpolation,mid_month,2021-04-15,199,54,20,Arkansas,38
interpolation,month_end,2021-04-30,119,49,24,Arkansas,39
17,from wave,2021-05-03,104,49,25,Arkansas,40
interpolation,mid_month,2021-05-15,110,51,31,Arkansas,41
interpolation,month_end,2021-05-31,93,38,15,Arkansas,42
gap17_18,from wave,2021-06-08,89,29,16,Arkansas,43
interpolation,mid_month,2021-06-15,70,30,14,Arkansas,44
interpolation,month_end,2021-06-30,73,36,21,Arkansas,45
18,mid_month,2021-07-15,114,68,44,Arkansas,46
interpolation,month_end,2021-07-31,214,131,82,Arkansas,47
interpolation,mid_month,2021-08-15,464,304,155,Arkansas,48
gap18_19,from wave,2021-08-25,695,403,210,Arkansas,49
interpolation,month_end,2021-08-31,771,414,208,Arkansas,50
interpolation,mid_month,2021-09-15,867,400,226,Arkansas,51
19,from wave,2021-09-28,776,332,148,Arkansas,52
interpolation,month_end,2021-09-30,758,308,142,Arkansas,53
interpolation,mid_month,2021-10-15,842,485,374,Arkansas,54
interpolation,month_end,2021-10-31,679,175,103,Arkansas,55
gap19_20,from wave,2021-11-02,660,182,92,Arkansas,56
interpolation,mid_month,2021-11-15,375,191,70,Arkansas,57
interpolation,month_end,2021-11-30,285,76,35,Arkansas,58
20,from wave,2021-12-02,303,92,44,Arkansas,59
interpolation,mid_month,2021-12-15,313,213,104,Arkansas,60
gap20_21,from wave,2021-12-21,370,230,117,Arkansas,61
interpolation,month_end,2021-12-31,464,218,111,Arkansas,62
interpolation,mid_month,2022-01-15,512,265,115,Arkansas,63
21,from wave,2022-01-25,474,199,95,Arkansas,64
interpolation,month_end,2022-01-31,468,182,106,Arkansas,65
interpolation,mid_month,2022-02-15,667,469,230,Arkansas,66
interpolation,month_end,2022-02-28,881,432,205,Arkansas,67
gap21_22,from wave,2022-03-01,908,427,232,Arkansas,68
interpolation,mid_month,2022-03-15,925,426,226,Arkansas,69
interpolation,month_end,2022-03-31,694,219,66,Arkansas,70
22,from wave,2022-04-09,502,98,64,Arkansas,71
interpolation,mid_month,2022-04-15,362,103,32,Arkansas,72
interpolation,month_end,2022-04-30,167,49,16,Arkansas,73
interpolation,mid_month,2022-05-15,82,26,8,Arkansas,74
interpolation,month_end,2022-05-31,98,69,41,Arkansas,75
gap22_23,from wave,2022-06-07,98,59,18,Arkansas,76
interpolation,mid_month,2022-06-15,111,43,19,Arkansas,77
interpolation,month_end,2022-06-30,93,52,28,Arkansas,78
23,from wave,2022-07-06,91,39,15,Arkansas,79
interpolation,mid_month,2022-07-15,97,43,24,Arkansas,80
interpolation,month_end,2022-07-31,138,86,46,Arkansas,81
gap23_24,from wave,2022-08-10,167,97,47,Arkansas,82
interpolation,mid_month,2022-08-15,193,103,59,Arkansas,83
interpolation,month_end,2022-08-31,191,80,40,Arkansas,84
24,from wave,2022-09-11,157,56,28,Arkansas,85
interpolation,mid_month,2022-09-15,148,52,26,Arkansas,86
interpolation,month_end,2022-09-30,238,171,102,Arkansas,87
gap24_25,from wave,2022-10-05,280,196,107,Arkansas,88
interpolation,mid_month,2022-10-15,389,194,83,Arkansas,89
interpolation,month_end,2022-10-31,323,117,63,Arkansas,90
25,from wave,2022-11-09,221,83,20,Arkansas,91
interpolation,mid_month,2022-11-15,154,36,4,Arkansas,92
interpolation,month_end,2022-11-30,69,31,17,Arkansas,93
interpolation,mid_month,2022-12-15,122,83,44,Arkansas,94
gap25_26,from wave,2022-12-21,128,69,25,Arkansas,95
interpolation,month_end,2022-12-31,99,5,0,Arkansas,96
interpolation,mid_month,2023-01-15,9,0,0,Arkansas,97
26,from wave,2023-01-17,0,0,0,Arkansas,98
interpolation,month_end,2023-01-31,0,0,0,Arkansas,99
interpolation,mid_month,2023-02-15,0,0,0,Arkansas,100
interpolation,month_end,2023-02-28,0,0,0,Arkansas,101
interpolation,mid_month,2023-03-15,0,0,0,Arkansas,102
interpolation,month_end,2023-03-31,0,0,0,Arkansas,103
gap26_27,from wave,2023-04-04,0,0,0,Arkansas,104
interpolation,mid_month,2023-04-15,0,0,0,Arkansas,105
interpolation,month_end,2023-04-30,0,0,0,Arkansas,106
27,from wave,2023-05-05,0,0,0,Arkansas,107
interpolation,mid_month,2023-05-15,0,0,0,Arkansas,108
interpolation,month_end,2023-05-31,0,0,0,Arkansas,109
interpolation,month_end,2020-03-31,0,0,0,California,0
interpolation,mid_month,2020-04-15,781,781,781,California,1
1,month_end,2020-04-30,1912,1039,498,California,2
interpolation,mid_month,2020-05-15,2264,1044,533,California,3
2,from wave,2020-05-21,2270,1028,524,California,4
interpolation,month_end,2020-05-31,2077,885,394,California,5
3,from wave,2020-06-01,2016,885,410,California,6
gap3_5,from wave,2020-06-11,2031,955,482,California,7
interpolation,mid_month,2020-06-15,1886,900,444,California,8
5,from wave,2020-06-28,1882,829,396,California,9
interpolation,month_end,2020-06-30,1816,862,426,California,10
gap5_7,from wave,2020-07-09,2031,1002,555,California,11
interpolation,mid_month,2020-07-15,2168,1193,700,California,12
7,from wave,2020-07-26,2662,1389,738,California,13
interpolation,month_end,2020-07-31,2976,1539,831,California,14
gap7_9,from wave,2020-08-06,3320,1712,911,California,15
interpolation,mid_month,2020-08-15,3714,1890,993,California,16
9,from wave,2020-08-26,3783,1782,872,California,17
interpolation,month_end,2020-08-31,3699,1673,805,California,18
gap9_10,from wave,2020-09-03,3772,1647,798,California,19
interpolation,mid_month,2020-09-15,3198,1462,641,California,20
10,month_end,2020-09-30,2853,1206,601,California,21
interpolation,mid_month,2020-10-15,2333,877,395,California,22
11,from wave,2020-10-23,2114,865,447,California,23
interpolation,month_end,2020-10-31,1795,741,338,California,24
12,from wave,2020-11-14,1554,636,292,California,25
interpolation,mid_month,2020-11-15,1528,637,292,California,26
13,month_end,2020-11-30,1631,911,422,California,27
gap13_14,mid_month,2020-12-15,2914,1949,1093,California,28
interpolation,month_end,2020-12-31,6194,3596,1985,California,29
14,from wave,2021-01-12,9219,5820,3310,California,30
interpolation,mid_month,2021-01-15,10356,5937,3345,California,31
interpolation,month_end,2021-01-31,14183,7091,3674,California,32
gap14_16,from wave,2021-02-04,14848,7271,3559,California,33
interpolation,mid_month,2021-02-15,14401,6420,2958,California,34
16,month_end,2021-02-28,13112,5342,2953,California,35
interpolation,mid_month,2021-03-15,9375,3265,1341,California,36
gap16_17,month_end,2021-03-31,6073,2549,1216,California,37
