Wave,End_Date,state,Avoiding contact with other people,Avoiding public or crowded places,Frequently washing hands,Wearing a face mask when outside of your home,Go to work,Go to the gym,Go visit a friend,"Go to a cafe, bar, or restaurant",Go to a doctor or visit a hospital,Go to church or another place of worship,"Take mass transit (e.g. subway, bus, or train)",Been in a room with someone outside of household in the past 24 hours,Been in a room with 5-10 people outside of household in the past 24 hours,Been in a room with 11-50 people outside of household in the past 24 hours,Been in a room with over 50 people outside of household in the past 24 hours,Total_N,new_ind
12,2020-11-14,AL,49.09372821701322,53.49657417889275,73.75178135260012,72.28956124390065,29.59230015423338,14.491601662652997,20.499219595422055,21.870824802234104,16.348277673258476,12.003588784684878,0.8749299365922742,43.70333956243272,11.89831674698905,5.252341850446868,2.5129011386965283,243.0,25
interpolation,2020-11-15,AL,48.89554006994524,53.31458918875192,73.61441209369472,72.362139355109,29.77443242964752,14.365232135061667,20.39091883321192,21.775548266750747,16.37400292674482,11.814775185802022,0.905128883207032,43.676298109211494,11.788358849874463,5.139663197739445,2.5776398924660597,,26
13,2020-11-30,AL,41.933079462992886,49.24251210429683,70.14143425284516,76.71189424274652,39.057842628753434,8.41625696087272,18.560543944106616,19.28880284036916,16.688305087449187,7.752965202112325,1.529976987146172,46.82006595205518,11.220589853338094,3.4522806099189824,3.000093443193542,462.0,27
gap13_14,2020-12-15,AL,41.224783325707484,49.05050408919255,70.10879992210391,80.0956631006196,40.67740607708541,4.812000800320494,16.689513206975203,17.352366649349634,15.413768146522763,5.704352819520231,1.6765144091629662,46.19492350489486,10.691026635048814,2.5677822746504857,2.8990464165977463,,28
interpolation,2020-12-31,AL,47.657123274298385,52.98763396419431,73.8026875338092,81.64849858529358,33.20875957391807,4.608812443016102,14.978387408604611,16.21594537647992,12.658266960211606,6.077320935818319,1.3241617736686333,41.06687031305425,9.8854110145232,2.525245693224045,2.4204110716491725,,29
14,2021-01-12,AL,51.03077694320085,55.070368700744346,75.77515209353163,82.41454318330815,29.690273431050613,4.620764184937447,14.596716221258726,15.550165595734274,11.356527840438734,6.767270148157648,1.1798855343134336,38.7697641028554,9.386436508148234,2.7336003662071837,2.104086690566943,465.0,30
interpolation,2021-01-15,AL,51.56962128095517,55.410367436658035,76.10339255277405,82.57002943299466,29.234696435993886,4.6055815629419214,14.634429009575307,15.400974421866193,11.16338571146532,6.971614126021334,1.1679938278903377,38.4827075029072,9.280469913922406,2.8114082818811936,2.0358465860113473,,31
interpolation,2021-01-31,AL,52.38592441210524,56.00306682241892,76.74018151475084,83.15592121922445,29.66960891481752,4.401855368462172,15.734934944742085,14.72184697192021,11.027004710158659,8.276658210911437,1.267902847819912,38.892069316313645,8.84216403004786,3.4001316369910293,1.7451362767670207,,32
gap14_16,2021-02-04,AL,52.048544053610435,55.8300239831279,76.60626643402156,83.2383498994403,30.532193995697,4.318620606551813,16.246738024361424,14.582738480666297,11.228096394889421,8.6595533206297,1.3358620644302237,39.50502301873462,8.76596894995551,3.5930355823075546,1.6917315718380934,,33
interpolation,2021-02-15,AL,50.71563205427074,55.06677425892859,76.01141972124229,83.34674168767198,33.19415492644398,4.169699813263174,17.59821812522971,14.43977535817075,11.912963419586763,9.700396534411405,1.575138010416023,41.4924497617367,8.62990210630605,4.08140059733858,1.6012141508076136,,34
16,2021-02-28,AL,49.04067146533968,53.972588726295534,75.23388030430532,83.2640964366215,35.70373911079701,4.282195647174258,18.58008530844123,14.88895014000153,12.64097224626693,10.786850196828803,1.92302595521274,43.70840286426798,8.612346601741946,4.451172227379377,1.61632208497543,398.0,35
interpolation,2021-03-15,AL,46.976379044190665,52.45273910081883,74.23774231123207,82.88509162648016,37.738198314524055,4.800883536496216,18.88270835907502,16.239964505908997,13.370158937594354,11.846632320321078,2.4119487234985875,46.08375990115614,8.784944487363918,4.598164807638265,1.79815677570766,,36
gap16_17,2021-03-31,AL,44.61899995798304,50.527674221503794,73.05830784438521,82.14584870299316,38.891234398141606,5.813405289877282,18.2249607829366,18.664467788252487,14.017080806727995,12.748176454224327,3.036815738721362,48.40311713080061,9.196800569105632,4.424683492149905,2.1862652545460066,,37
interpolation,2021-04-15,AL,42.28374266738961,48.53946424408149,71.87181615807417,80.4954602727579,39.42361958729461,6.9749001036397,17.528409853884835,21.117374651298167,14.582215996483166,13.454908937996986,3.5432608075668424,50.306855200594825,9.767409162698582,4.1967144670631615,2.6977677839457757,,38
interpolation,2021-04-30,AL,39.85448090841666,46.507919489059134,70.64527584413078,77.06745521606395,39.96083008220194,8.05298233273676,17.865045111406182,22.76266132551417,15.214954463970283,14.128354468330553,3.739696165626422,51.85644699693776,10.478159389608042,4.22875100446308,3.3066892041989275,,39
17,2021-05-03,AL,39.3573605935236,46.0964724690564,70.39517958476861,76.16814634459573,40.06909911689601,8.258455618038466,18.056868392336064,22.994349938253656,15.349664352862757,14.25909574367204,3.741674158995206,52.12382513010715,10.637108661391553,4.266508551495572,3.4401427146350105,462.0,40
interpolation,2021-05-15,AL,37.3313194569565,44.43355749238469,69.37883389207514,71.85855132495801,40.50493170804773,9.046538224186287,19.239148947474305,23.596541982199252,15.915711226416157,14.768901409287242,3.6252225383265704,53.05153690912073,11.32890316986435,4.522039538133905,4.012854177664186,,41
interpolation,2021-05-31,AL,34.53644891434645,42.173710580688805,67.98398200431876,64.33944090362647,41.0929023332732,10.013164367347615,21.848380628078534,23.591664938895935,16.738156382579632,15.415889923350088,3.160426543121668,53.935559627575124,12.390667207604505,5.122838396605831,4.873280821345363,,42
gap17_18,2021-06-08,AL,33.0989497742469,41.02551843506933,67.2695313615127,59.82003552361159,41.38982786175302,10.460412868198667,23.59564972856061,23.24302651643109,17.178400099843778,15.725347448914048,2.7953740450991935,54.22631684956074,12.981279809235907,5.534705344250715,5.344984725889783,,43
interpolation,2021-06-15,AL,31.956753952190635,40.08677830782456,66.68717735398685,55.890561292419235,41.61848387600845,10.813611555125009,25.135903748364385,22.85030349173018,17.52301917253373,15.972459068041777,2.4545476092087495,54.398710253903396,13.45968306635516,5.905557550600283,5.744092272008026,,44
interpolation,2021-06-30,AL,30.512754357064512,38.635804772156995,65.81629436904677,49.59965172514148,41.858039331540255,11.36483394885212,27.39840329298984,22.206493416929412,17.871055349876777,16.353189218092616,1.8949930267552928,54.513599170446554,14.033465112280766,6.498104737279593,6.387384802380175,,45
18,2021-07-15,AL,30.439627476552733,37.95061542563006,65.46042830741555,46.22007626919274,41.75554416244772,11.635330652499569,28.24139863153409,21.834085598464455,17.685706226132485,16.530741010748613,1.569215101744529,54.28141989831272,13.990517178059235,6.814138774991635,6.741043022096319,417.0,46
interpolation,2021-07-31,AL,31.872631840559517,38.06381114003188,65.64850093936714,45.82413293666782,41.2692001824964,11.61443837576904,27.57598457883399,21.735996190196413,16.900091362273415,16.496181888986467,1.4793924752698806,53.65121573785041,13.26493255899409,6.846462811022775,6.79903708293714,,47
interpolation,2021-08-15,AL,34.63264190358402,38.96124245106223,66.35700318590757,48.46131464413236,40.459800389180195,11.304768653251852,25.485337891477055,21.924486368158796,15.612412616281954,16.25383174302645,1.6367529756406793,52.70176220911741,11.947409332468471,6.591036340869123,6.554117727297536,,48
gap18_19,2021-08-25,AL,37.152697246141045,39.9498398846502,67.08812145776392,51.70371688269116,39.74439557899598,10.952120069407195,23.384912625796897,22.187533980754882,14.484497126256944,15.983433161105106,1.860725852952447,51.90185621888817,10.768894666664167,6.279837736775228,6.23850928849742,,49
interpolation,2021-08-31,AL,38.4868716186504,40.503783149481585,67.47900031864405,53.502454743421794,39.32421188824595,10.736912552908821,22.294479212049037,22.32602805442919,13.84888244830459,15.801178486705751,1.9826366602730903,51.49712279069283,10.175109421163063,6.1073982014754185,6.036834114534169,,50
interpolation,2021-09-15,AL,40.684987398137984,41.52145621654874,68.11375603407544,56.61397426059866,38.40005605659399,10.253270152605786,20.682096343212024,22.517891000654128,12.577217674549404,15.307332451794526,2.1730847855493285,50.90779349875878,9.350813228880613,5.8094176701293705,5.550507127642861,,51
19,2021-09-28,AL,41.27578445385256,41.979136764882824,68.26816754940518,57.709804353223426,37.74507159253123,9.89694834632162,20.57164084816879,22.50578652351656,11.841849090595712,14.835179529461072,2.206026439959421,50.885268612078725,9.39928274926818,5.70499347538459,5.149663056712057,439.0,52
interpolation,2021-09-30,AL,41.258360103645906,42.01457914788553,68.25930969697976,57.74645787113313,37.656333646689355,9.847308310792611,20.66071442513595,22.489222178363594,11.758941359545213,14.758901632722106,2.2002059207893274,50.922041747616646,9.469612638698605,5.701606148645432,5.089695780775586,,53
interpolation,2021-10-15,AL,40.206989735174155,41.983151943491926,67.91566130735701,56.89990557502519,37.093044658532044,9.519027027469294,22.230333457820805,22.240021587557585,11.394053503292016,14.155886029488489,2.0640000659930853,51.53986753726641,10.531507650617037,5.783963637023602,4.654400073932343,,54
interpolation,2021-10-31,AL,37.29602665999525,41.37182078545599,67.01026299999253,53.81738623488946,36.69072725621594,9.254464938791298,25.6565974896981,21.731363594692418,11.504447877414266,13.452633548862014,1.7388442491739151,52.86330558984705,12.702680274374831,6.081206414128506,4.218239507345291,,55
gap19_20,2021-11-02,AL,36.833848753680016,41.262083358779044,66.86677023926968,53.31689368767063,36.64643143870458,9.227212217972612,26.173175723081922,21.655653609773918,11.551492164453673,13.363433513524996,1.6887880684755752,53.056663305169934,13.025259877933014,6.128472737433107,4.166499585477982,,56
